extracted_symptom,linked_symptom
lower back pain,Back pain
inflammation,Inflammation
symptoms,Lower urinary tract symptoms
injury),Injury
aches,Computerised tomogram spine
some headaches,Headache
rotator cuff injury,Injury
moderate joint effusion,Effusion
some lumbar spinal disk herniation,Hernia
swelling,Swelling
joint pain,Pain
tingling in fingers Muscle pain,Pain
muscle fatigue,Muscle fatigue
very painful,Pain
The swelling,Swelling
adverse reactions,Adverse reaction
No adverse event,No adverse event
fever,Pyrexia
a headache,Headache
lethargy,Lethargy
adverse event,Adverse event
funny,Cerumen removal
No adverse event,No adverse event
the neck and back pain,Back pain
moderate neck and back pain,Back pain
PAIN IN EXTREMITY,Pain in extremity
antibodies,Antiphospholipid antibodies
temperature excursion,Product temperature excursion issue
any adverse event,Adverse event
hemoptysis,Haemoptysis
asthma,Asthma
the pain in his chest,Pain
congestion,Ear congestion
hallucination,Hallucination
a cough,Cough
Eyes-no conjunctivitis,Conjunctivitis
vomiting,Vomiting
confusion,Confusional state
chest pain,Chest pain
bone,Biopsy bone marrow
respiratory symptoms,Respiratory symptom
fever,Pyrexia
rhinorrhea,Rhinorrhoea
chills,Chills
any nausea,Nausea
diabetes,Diabetes mellitus
headaches,Headache
CAD,Wheelchair user
rash,Rash
a sharp pain,Pain
abdominal pain,Abdominal pain
paresthesias,Paraesthesia
fatigue,Fatigue
dysuria,Dysuria
coughing,Cough
nausea,Nausea
diarrhea,Diarrhoea
hematuria,Haematuria
adenopathy,Hilar lymphadenopathy
delusion,Delusion
leg swelling,Swelling
his cough,Cough
COVID-19 pneumonia,COVID-19 pneumonia
Skin-no rashes,Rash
cough,Cough
night sweats,Night sweats
fever,Pyrexia
congestion,Ear congestion
chills,Chills
sinus pain,Sinus pain
overall body pain,Pain
Headache,Headache
cough,Cough
No adverse event,No adverse event
No adverse event,No adverse event
fever,Pyrexia
Pain-Severe,Pain
coughing,Cough
Heaviness,Nervousness
No adverse event,No adverse event
respiratory symptoms,Respiratory symptom
diarrhea,Diarrhoea
hypoxia,Hypoxia
No adverse event,No adverse event
hypercapnia,Hypercapnia
hallucinations,Hallucination
moaning,Moaning
headache,Headache
MOANING,Moaning
SPEECH DISORDER,Speech disorder
HEADACHE,Headache
hallucination,Hallucination
The headache,Headache
alice in wonderland syndrome,Alice in wonderland syndrome
Alice in wonderland syndrome,Alice in wonderland syndrome
speech disorder,Speech disorder
wonderland syndrome,Alice in wonderland syndrome
a really bad headache,Headache
"coronary artery disease""",Coronary artery disease
SARS,Exposure to SARS-CoV-2
"diabetes mellitus""",Diabetes mellitus
"chronic obstructive pulmonary disease""",Chronic obstructive pulmonary disease
COVID-19 pneumonia,COVID-19 pneumonia
PYREXIA,Pyrexia
really bad chills,Chills
bad headache,Headache
FATIGUE,Fatigue
HEADACHE,Headache
chills,Chills
"bad headache""",Headache
sleep,Obstructive sleep apnoea syndrome
CHILLS,Chills
Fever,Pyrexia
INSOMNIA,Insomnia
pyrexia,Pyrexia
extreme constipation,Constipation
confusion,Confusional state
Vomiting,Vomiting
dizziness,Dizziness
pressure migraine,Migraine
adverse reaction,Adverse reaction
death,Death
sudden cardiac death,Sudden cardiac death
respiratory symptoms,Respiratory symptom
redness,Inflammation
c/o burning sensation,Burning sensation
acute distress,Stress
rash,Rash
temperature excursion,Product temperature excursion issue
fever,Pyrexia
headaches,Headache
congestion,Ear congestion
symptoms,Lower urinary tract symptoms
cough,Cough
inflammation in blood tests,Blood test
calf pain,Pain
Hypoglycemia,Hypoglycaemia
Heartbeat,Pulse abnormal
swollen,Swollen tongue
hot,Feeling hot
palpable left axillary lymphadenopathy,Lymphadenopathy
adverse events,Adverse event
lymphadenopathy,Lymphadenopathy
metastatic malignant melanoma,Metastatic malignant melanoma
metastatic melanoma,Tic
Acute axillary lymphadenopathy,Lymphadenopathy
lymphocytes,Lymphocyte count
breast cancer,Breast cancer female
"Acute axillary lymphadenopathy""",Lymphadenopathy
LYMPHADENOPATHY,Lymphadenopathy
METASTATIC MALIGNANT MELANOMA,Metastatic malignant melanoma
breathing,Bed rest
sick,Motion sickness
adverse events,Adverse event
PE,Alopecia
a ground-level fall,Fall
C3-4 disc herniation,Hernia
No adverse event,No adverse event
No adverse event,No adverse event
adverse event,Adverse event
fatigue,Fatigue
coughing,Cough
the cough,Cough
weight gain,Weight
rashes,Rash
the rash,Rash
chest pain,Chest pain
Her chest pain,Chest pain
breaks out in rashes,Rash
extreme fatigue,Fatigue
chronic fatigue,Fatigue
whole body pain,Pain
rash,Rash
Extreme headache,Headache
headache,Headache
blisters,Blister
immune system,Immune system disorder
Debilitating,Drain placement
varicella,Varicella
zoster,Herpes zoster
headache,Headache
fatigue,Fatigue
a headache,Headache
sweating,Hyperhidrosis
The muscle pain,Pain
pain in my arm,Pain
bruising,Injection site bruising
an intermittent sharp pain,Pain
a tremor,Tremor
a sharp pain in my left chest,Pain
muscle pain,Pain
shaking,Palpitations
No adverse event,No adverse event
chronic urticaria,Urticaria chronic
excruciatingly painful,Pain
congestion,Ear congestion
fatigue,Fatigue
cough,Cough
bleeding,Bleeding anovulatory
postmenopausal haemorrhage,Postmenopausal haemorrhage
POSTMENOPAUSAL HAEMORRHAGE,Postmenopausal haemorrhage
cancer,Breast cancer female
CHRONIC PAIN,Pain
MUSCLE MASS,Muscle mass
SYSTEMIC JOINT SWELLING,Joint swelling
left-sided breast cellulitis,Breast cellulitis
pain,Pain
Erythema,Erythema
Type 2 Diabetes,Type 2 diabetes mellitus
diffuse abdominal pain,Abdominal pain
Diarrhea,Diarrhoea
c/o intractable Nausea,Nausea
fevers,Pyrexia
Vomiting,Vomiting
COVID-19 INFECTION,COVID-19
multiple sclerosis (MS),Multiple sclerosis
Progressive multiple sclerosis),Multiple sclerosis
SAR,Caesarean section
severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome
DEATH,Death
death,Death
covid-19 infection,COVID-19
a COVID-19 infection,COVID-19
multiple sclerosis,Multiple sclerosis
PMS,Autopsy
a documented COVID-19 infection,COVID-19
mood swings,Mood swings
Fatigue,Fatigue
falls,Fall
No adverse event,No adverse event
allergies,Allergy test
symptoms,Lower urinary tract symptoms
a mild cough,Cough
COVID-19 symptoms,COVID-19
vomited,Retching
fever,Pyrexia
coughing,Cough
a dry nonproductive cough,Cough
any associated chest pain,Chest pain
chills,Chills
multiple bilateral pulmonary embolisms,Pulmonary embolism
abdominal aortic aneurysm,Aneurysm
pain on the right arm,Pain
PAIN IN EXTREMITY,Pain in extremity
No adverse event,No adverse event
L hand painful thumb,Pain
Barre Syndrome,Guillain-Barre syndrome
ascending paralysis syncope,Paralysis
fever,Pyrexia
anaphylactic,Anaphylactic reaction
Covid pneumonia,COVID-19 pneumonia
dyspnea,Dyspnoea
chest pain,Chest pain
cough,Cough
fatigued,Fatigue
No adverse event,No adverse event
PAIN,Pain
the Tinnitus,Tinnitus
Apnea,Apnoea
inflammation,Inflammation
the tinnitus,Tinnitus
tinnitus,Tinnitus
The Tinnitus,Tinnitus
contractions,Muscle contractions involuntary
allergic rhinitis,Rhinitis allergic
anemia,Anaemia
No adverse event,No adverse event
moderate respiratory distress,Respiratory distress
elevated,Atelectasis
tachycardic,Tachycardia
bilateral pneumonia,Pneumonia
chronic atrial fibrillation,Atrial fibrillation
No adverse event,No adverse event
COVID,Asymptomatic COVID-19
chest pain,Chest pain
peptic ulcer disease,Tic
fatigue,Fatigue
hypoxia,Hypoxia
diverticulosis,Tic
chronic inflammation,Inflammation
headache,Headache
symptoms,Lower urinary tract symptoms
No adverse event,No adverse event
asymptomatic,Asymptomatic COVID-19
stiffness,Joint stiffness
Numbness,Apathy
tingling,Tic
PALPITATIONS,Palpitations
palpitations,Palpitations
pericarditis,Pericarditis
myocarditis,Myocarditis
swelling,Swelling
shooting pain,Pain
No adverse event,No adverse event
ACS,Accident
PE,Alopecia
Significant wheezing,Wheezing
chest pain,Chest pain
fever,Pyrexia
chills,Chills
gassy pain,Pain
hematochezia,Haematochezia
melena,Melaena
palpitations,Palpitations
chest pain,Chest pain
a sharp pain,Pain
bilaterlal pulmonary embolism,Pulmonary embolism
Cramp,Blepharospasm
deep vein thrombosis in right leg,Deep vein thrombosis
weakness,Injection site muscle weakness
No adverse event,No adverse event
hypotension,Hypotension
unresponsive,Unresponsive to stimuli
agonal respirations,Agonal respiration
HTN,Muscle tightness
Hyperlipidemia,Hyperlipidaemia
Asthma,Asthma
Fever,Pyrexia
headache,Headache
extreme fatigue,Fatigue
No adverse event,No adverse event
temperature excursion,Product temperature excursion issue
an adverse event,Adverse event
head congestion,Ear congestion
a headache,Headache
shivering,Chills
a scratchy throat,Scratch
ichi,Escherichia infection
pain,Pain
very painful,Pain
pain in my chest,Pain
The injection site,Injection
hot,Feeling hot
injection site,Injection site mass
headache,Headache
fatigue,Fatigue
myalgias,Myalgia
discomfort,Discomfort
No adverse event,No adverse event
No adverse event,No adverse event
hives,Urticaria
itchiness,Muscle twitching
rash,Rash
adverse events,Adverse event
infection,Infection
pericarditis,Pericarditis
myocarditis,Myocarditis
dizziness,Dizziness
chest pain,Chest pain
appetite,Appetite disorder
extreme chills,Chills
numbness,Apathy
fevers,Pyrexia
Chills,Chills
No adverse event,No adverse event
COVID,Asymptomatic COVID-19
pneumonia,Pneumonia
No adverse event,No adverse event
No adverse event,No adverse event
lightheaded,Pupillary light reflex tests abnormal
another medication motion sickness,Motion sickness
a vertigo attack,Vertigo
Servere Vertigo reaction,Vertigo
headache,Headache
blood filled blisters in mouth,Blister
bleeding,Bleeding anovulatory
severe headache,Headache
purpura,Purpura
dry cough,Cough
fever,Pyrexia
Dyspnea,Dyspnoea
hypoxia,Hypoxia
pain,Pain
myalgias,Myalgia
wheezing,Wheezing
pulmonary edema,Pulmonary oedema
hyperglycemia,Hyperglycaemia
arthralgias,Arthralgia
cough,Cough
a fall,Fall
No adverse event,No adverse event
pain in eyes,Pain
Corneas painful,Pain
facial and neck pain,Neck pain
Dry eyes and throat,Dry eye
light pain,Pain
much corneal pain,Pain
corneas very dry painful,Pain
tears,Crying
painful,Pain
fatigue,Fatigue
sleepiness,Somnolence
lightheadedness,Vertigo
Mild headaches,Headache
No adverse event,No adverse event
malaise,Malaise
lymphadenopathy,Lymphadenopathy
swollen,Swollen tongue
Itching,Muscle twitching
Symptoms,Lower urinary tract symptoms
Pain,Pain
painful,Pain
osteoporosis,Osteoporosis
vaccination failure,Vaccination failure
COVID-19 breakthrough infection,Breakthrough COVID-19
acute viral myocarditis,Viral myocarditis
abdominal pain,Abdominal pain
diabetic ketoacidosis,Diabetic ketoacidosis
nausea,Nausea
dehydration,Dehydration
myalgias,Myalgia
symptoms,Lower urinary tract symptoms
vomiting,Vomiting
severe malaise,Malaise
mobile axillary lymphadenopathy,Lymphadenopathy
tender,Abdominal tenderness
swollen,Swollen tongue
nausea,Nausea
tremors,Tremor
swelling behind the knee joint,Swelling
joint pain in my left knee,Pain
pain in my right elbow,Pain
headache,Headache
fever,Pyrexia
rhinorrhea,Rhinorrhoea
diarrhea,Diarrhoea
COVID infection,Infection
myalgias,Myalgia
chills,Chills
a nonproductive cough,Cough
cough,Cough
lump,Swelling
Atrial flutters,Atrial flutter
chronic tinnitus,Tinnitus
tinnitus,Tinnitus
"chronic tinnitus""",Tinnitus
TINNITUS,Tinnitus
No adverse event,No adverse event
PYREXIA,Pyrexia
nauseas,Nausea
"heart rate elevated""",Heart rate
NAUSEA,Nausea
elevated,Atelectasis
nausea,Nausea
HEART RATE INCREASED,Heart rate increased
chills,Chills
ASTHENIA,Asthenia
symptoms,Lower urinary tract symptoms
fevers,Pyrexia
"""heart rate elevated",Heart rate
asthenia,Asthenia
CHILLS,Chills
heart rate elevated,Heart rate
pyrexia,Pyrexia
No adverse event,No adverse event
congested,Cardiac failure congestive
a mild cough,Cough
groggy,Cytology abnormal
swollen,Swollen tongue
The rash,Rash
a full body rash,Rash
fatigue,Fatigue
malaise,Malaise
fevers,Pyrexia
constipation,Constipation
a congested cough,Cough
chest pain,Chest pain
weakness,Injection site muscle weakness
fever,Pyrexia
LOC,Atrioventricular block
V,COVID-19
encephalomalacia left left occipital lobes,Encephalomalacia
D,Accident
weak,Injection site muscle weakness
leukocytosis,Leukocytosis
the fall,Fall
abd pain,Pain
"a coarse, congested cough",Cough
N,Accident
low back pain,Back pain
an AG metabolic acidosis,Metabolic acidosis
fatigue,Fatigue
dysuria,Dysuria
a lactic acidosis,Lactic acidosis
scattered rhonchi,Rhonchi
head injury,Head injury
swelling in her middle two fingers,Swelling
the pain,Pain
feverish,Febrile convulsion
arm pain,Pain
the swelling,Swelling
pain in her right arm,Pain
tears,Crying
sore,Abdominal tenderness
lightheadedness,Vertigo
rigors,Joint stiffness
vomiting,Vomiting
weakness,Injection site muscle weakness
chest pain,Chest pain
nauseous,Nausea
chills,Chills
back pain,Back pain
hypercalcemia,Hypercalcaemia
dizziness,Dizziness
vomit,Cyclic vomiting syndrome
symptomatic,Asymptomatic COVID-19
hypertension,Hypertension
dysuria,Dysuria
hematuria,Haematuria
some achy left sided abdominal pain,Abdominal pain
cough,Cough
coughing,Cough
PE,Alopecia
hypoxic,Hypoxic-ischaemic encephalopathy
minimal plueral effusions,Effusion
acute hypoxic rep distress,Stress
No adverse event,No adverse event
allergic,Allergic reaction to excipient
LIMB DISCOMFORT,Limb discomfort
Allergic,Allergic reaction to excipient
adverse reaction,Adverse reaction
fluid,Amniotic fluid volume increased
fever,Pyrexia
fatigue,Fatigue
coughing,Cough
nausea,Nausea
the cough,Cough
Symptoms,Lower urinary tract symptoms
upper respiratory congestion,Upper respiratory tract congestion
the  nausea,Nausea
pneumonitis,Pneumonitis
acute hypoxic respiratory failure,Acute respiratory failure
hospital-acquired pneumonia,Pneumonia
injury,Injury
COVID19 T pneumonia,COVID-19 pneumonia
sepsis,Sepsis
elevated,Atelectasis
hypoxia,Hypoxia
hypertensive,Hypertensive emergency
symptoms,Lower urinary tract symptoms
STEMI,Systemic inflammatory response syndrome
an illness,Illness
COVID-19 pneumonia,COVID-19 pneumonia
mild respiratory Alkalosis,Respiratory alkalosis
fever,Pyrexia
headaches,Headache
inflammation of vascular structure of organs,Inflammation
confusion,Confusional state
significant increase seizure,Seizure
extreme fatigue,Fatigue
acute asthma exacerbation,Asthma
another asthma attack,Asthma
a bronchitis,Bronchitis
wheezing,Wheezing
sneezing,Sneezing
symptoms,Lower urinary tract symptoms
Symptoms,Lower urinary tract symptoms
chest pain,Chest pain
new joint pain,Pain
hypoxic respiratory failure,Respiratory failure
HEADACHE,Headache
MYALGIA,Myalgia
HEADACHE (Headache) outcome,Headache
muscle pain,Pain
Headache,Headache
No adverse event,No adverse event
headache,Headache
chest discomfort,Chest discomfort
couching,Amputation
scratchy throat,Scratch
Symptoms,Lower urinary tract symptoms
PYREXIA,Pyrexia
real cough,Cough
No adverse event,No adverse event
No adverse event,No adverse event
BREAST PAIN,Breast pain
myalgia,Myalgia
Tiredness,Fatigue
Left breast pain,Breast pain
asthenia,Asthenia
Lightheaded,Pupillary light reflex tests abnormal
lymphadenopathy,Lymphadenopathy
pulmonary pain,Pulmonary pain
FATIGUE,Fatigue
breast pain,Breast pain
dizziness,Dizziness
PULMONARY PAIN,Pulmonary pain
DIZZINESS,Dizziness
MYALGIA,Myalgia
ASTHENIA,Asthenia
fatigue,Fatigue
Weakness,Injection site muscle weakness
Lung pain,Pain
LYMPHADENOPATHY,Lymphadenopathy
ADVERSE EVENT,Adverse event
adverse event,Adverse event
extremely fatigued,Fatigue
No adverse event,No adverse event
Massive MCA Stroke,Mass
extreme nausea,Nausea
Stroke,Cerebellar stroke
fever,Pyrexia
"this ""rash",Rash
injury,Injury
"a ""rash",Rash
chills,Chills
two small blisters,Blister
death,Death
recent COVID 19 infection,COVID-19
swollen,Swollen tongue
bruising,Injection site bruising
Swelling,Swelling
throat tightness,Throat tightness
symptoms,Lower urinary tract symptoms
itching at injection site,Injection
itching,Muscle twitching
No adverse event,No adverse event
Dizziness,Dizziness
Bradycardia-Medium,Bradycardia
Vomiting,Vomiting
No adverse event,No adverse event
No adverse event,No adverse event
aching,Computerised tomogram spine
constipation,Constipation
Nausea,Nausea
numbness,Apathy
The Tinnitus,Tinnitus
muscle weakness,Injection site muscle weakness
dizziness symptoms,Dizziness
Symptoms,Lower urinary tract symptoms
Chronic Fatigue,Fatigue
Vision,Tunnel vision
Peripheral Neuropathy symptoms,Neuropathy peripheral
Dizziness,Dizziness
dysphagia,Dysphagia
inflammation,Inflammation
symptoms,Lower urinary tract symptoms
dry mouth,Dry mouth
Tinnitus,Tinnitus
fatigue,Fatigue
Near Syncope events,Syncope
Ocular Migraine,Migraine
Palpitations,Palpitations
No adverse event,No adverse event
No adverse event,No adverse event
some coughing,Cough
coughing,Cough
some fatigue,Fatigue
No adverse event,No adverse event
left upper body pain,Pain
Angina,Angina pectoris
headaches,Headache
injection site pain,Injection site pain
nausea,Nausea
teeth pain,Pain
Myalgia,Myalgia
leg pain,Pain
symptoms,Lower urinary tract symptoms
NauseaVomiting,Nausea
Headache,Headache
chest pain,Chest pain
Psoriasis,Psoriasis
psoriasis,Psoriasis
anemia,Anaemia
urinary retention,Urinary retention
asymptomatic,Asymptomatic COVID-19
atrial fibrillation,Atrial fibrillation
dementia,Dementia
COVID,Asymptomatic COVID-19
rash,Rash
swollen,Swollen tongue
elevated,Atelectasis
a headache,Headache
anaphylactic symptoms,Tic
swallowing,Alcohol withdrawal syndrome
vomiting,Vomiting
some nausea,Nausea
No adverse event,No adverse event
wild swings in heart rate,Heart rate
migraines,Migraine
an electrical shock,Shock
palpitations,Palpitations
dizziness,Dizziness
Bells Palsy,Bell's palsy
a horrible cough,Cough
transfusions reactions,Transfusion
night sweats,Night sweats
abdominal pain,Abdominal pain
perforated appendicitis,Appendicitis
febrile neutropenia,Febrile neutropenia
abscess,Abscess
pain,Pain
worsening leukocytosis,Leukocytosis
chills,Chills
fevers,Pyrexia
appendicitis,Appendicitis
her congestion,Ear congestion
heart rate spiking,Heart rate
numb,Product lot number issue
profusely vomiting,Vomiting
LETHARGY,Lethargy
FEVER,Pyrexia
RASH ON ARMS AND LEGS,Rash
MUSCLE PAIN,Pain
COUGH,Cough
JOINT PAIN,Pain
CHILLS,Chills
much more rash,Rash
Injection sites,Injection
tenderness,Tenderness
facial swelling,Swelling
redness,Inflammation
wheezing,Wheezing
vesicles,Injection site vesicles
scratching his scalp,Scratch
murmurs,Cardiac murmur
lip swelling,Lip swelling
petechiae,Petechiae
a viral exanthem rash,Rash
diarrhea,Diarrhoea
ulcers,Ulcer
swelling,Swelling
most dense rash on face,Rash
Wide-complex Tachycardia,Tachycardia
pain,Pain
muscle/tendon inflammation,Inflammation
my pain,Pain
Asthma,Asthma
No adverse event,No adverse event
COVID breakthrough infection,Infection
another pericarditis flare,Pericarditis
pain,Pain
a pericardial effusion,Pericardial effusion
pericarditis,Pericarditis
the same chest pain,Chest pain
chest pain,Chest pain
"burning sensation in back, torso and extremities",Burning sensation
Nasal Congestion,Nasal congestion
fatigue,Fatigue
hard painful,Pain
swollen,Swollen tongue
Chills,Chills
COVID 19 pneumonia,COVID-19 pneumonia
non massive hemoptysis,Mass
mild hypoxia,Hypoxia
COVID 19 infection,COVID-19
tachycardic,Tachycardia
complaints,Bloody discharge
atrial flutter,Atrial flutter
atrial fibrillation,Atrial fibrillation
tired,Fatigue
cough,Cough
coughing,Cough
irritable,Irritable bowel syndrome
a cough,Cough
headache,Headache
Extreme fatigue,Fatigue
fall,Fall
hypoxia,Hypoxia
COVID-19,COVID-19
Hypokalemia,Hypokalaemia
AKI (acute kidney injury,Acute kidney injury
No adverse event,No adverse event
MUSCULOSKELETAL STIFFNESS,Musculoskeletal stiffness
arthritis,Arthritis
MUSCLE SPASMS,Muscle spasms
ERYTHEMA (Red wrinkled skin,Erythema
SKIN BURNING SENSATION,Skin burning sensation
ERYTHEMA,Erythema
Burning,Burning mouth syndrome
adverse reaction,Adverse reaction
Confusion,Confusional state
Orthostatic Hypotension,Orthostatic hypotension
Ataxia,Ataxia
Weakness,Injection site muscle weakness
a concurrent pseudomonas infection,Infection
VOMITING,Vomiting
"""diarrhea",Diarrhoea
diarrhoea,Diarrhoea
Diarrhea,Diarrhoea
diarrhea,Diarrhoea
"Secondary pulmonary arterial hypertension""",Hypertension
vomiting,Vomiting
secondary pulmonary arterial hypertension,Hypertension
DIARRHOEA,Diarrhoea
pulmonary arterial hypertension,Pulmonary hypertension
No adverse event,No adverse event
severe vertigo,Vertigo
medical anxiety,Anxiety
No adverse event,No adverse event
No adverse event,No adverse event
respiratory distress,Respiratory distress
fever,Pyrexia
fatigue,Fatigue
pneumonia,Pneumonia
Symptoms,Lower urinary tract symptoms
cough,Cough
gallbladder,Gallbladder disorder
pain in m abdomen,Pain
the pain,Pain
infected,Infected skin ulcer
vomiting,Vomiting
urticaria,Urticaria
hypersensitivity (allergic reaction,Hypersensitivity
adverse reactions,Adverse reaction
Elevated lymphocyte count,Lymphocyte count
Symptoms,Lower urinary tract symptoms
Mild,Biopsy soft tissue
Dizziness,Dizziness
Tinnitus,Tinnitus
Sweating,Hyperhidrosis
serious heart arrhythmia,Arrhythmia
arrhythmia,Arrhythmia
ARRHYTHMIA,Arrhythmia
sinus congestion,Sinus congestion
cough,Cough
an unknown illness,Illness
headaches,Headache
lethargic,Tic
Symptoms,Lower urinary tract symptoms
Illness,Illness
my illness,Illness
Acute illness,Illness
adverse reaction,Adverse reaction
chronic illness,Illness
PRODUCT TEMPERATURE EXCURSION ISSUE,Product temperature excursion issue
adverse event,Adverse event
PAIN IN EXTREMITY,Pain in extremity
pain in extremity,Pain in extremity
hypomagnesemia,Hypomagnesaemia
nausea,Nausea
diarrhea,Diarrhoea
dehydration,Dehydration
hypokalemia,Hypokalaemia
UTI,Therapeutic procedure
vomiting,Vomiting
AKI,Pollakiuria
No adverse event,No adverse event
No adverse event,No adverse event
asthma,Asthma
congestion,Ear congestion
vomiting,Vomiting
confusion,Confusional state
discharge,Discharge
chest pain,Chest pain
fever,Pyrexia
neck pain,Neck pain
rhinorrhea,Rhinorrhoea
redness,Inflammation
chills,Chills
diabetes,Diabetes mellitus
arthralgias,Arthralgia
diaphoresis,Hyperhidrosis
headaches,Headache
myalgias,Myalgia
ear pain,Ear pain
itching,Muscle twitching
rash,Rash
abdominal pain,Abdominal pain
fatigue,Fatigue
hypertension,Hypertension
dysuria,Dysuria
nausea,Nausea
diarrhea,Diarrhoea
Exertional dyspnea,Dyspnoea exertional
palpitations,Palpitations
leg swelling,Swelling
Pain,Pain
cough,Cough
Pain in side of neck,Pain
lymph nodes,Ultrasound lymph nodes
lightheaded,Pupillary light reflex tests abnormal
fatigue,Fatigue
appetite,Appetite disorder
nausea,Nausea
insomnia,Insomnia
Symptoms,Lower urinary tract symptoms
No adverse event,No adverse event
a burning sensation on my scalp,Burning sensation
a rash on my scalp,Rash
nerve pain,Pain
itchiness,Muscle twitching
Migrain headache,Headache
new   mass cell activation issue,Mass
significant weakness hypoxia,Hypoxia
Acute hypoxemic respiratory failure,Acute respiratory failure
fatigue,Fatigue
PE,Alopecia
community-acquired pneumonia,Pneumonia
Symptoms,Lower urinary tract symptoms
COVID-19 virus,COVID-19
Pneumonia,Pneumonia
cough,Cough
Vascular dementia,Vascular dementia
a seizure event,Seizure
current covid infection,Infection
debilitated,Drain placement
HTN,Muscle tightness
hypoxia,Hypoxia
Syncope,Syncope
Moderate atrophy   Covid-19 Infection,Atrophy
weak,Injection site muscle weakness
seizures,Seizure
traumatic SDH,Tic
mild dehydration,Dehydration
right carotid artery stenosis,Carotid artery stenosis
Seizure Subtherapeutic Valproic acid level,Seizure
hyponatremia,Hyponatraemia
TENDERNESS OF SACRUM,Tenderness
SEVERE FATIGUE,Fatigue
MODERATE TO SEVERE DRY COUGH,Cough
Dizziness,Dizziness
nausea,Nausea
Muscle pain,Pain
Vomiting,Vomiting
Palpitations,Palpitations
Lightheaded,Pupillary light reflex tests abnormal
Sweating,Hyperhidrosis
confused,Clostridium difficile colitis
temperature excursion,Product temperature excursion issue
No adverse event,No adverse event
severe increased fatigue,Fatigue
venous sinus thrombosis,Cerebral venous sinus thrombosis
severe pain,Pain
extensive Dural venous sinus thrombosis,Thrombosis
vomiting,Vomiting
Dural venous sinus thrombosis,Thrombosis
papilledema,Papilloedema
an incapacitating headache,Headache
knee injury,Injury
DM,Diabetes mellitus
Parkinson's,Parkinson's disease
No adverse event,No adverse event
No adverse event,No adverse event
depression,Depression
persistent asthma,Asthma
prior cardiac arrest,Cardiac arrest
COVID pneumonia,COVID-19 pneumonia
seizure disorder,Seizure
ongoing encephalopathy,Encephalopathy
critically ill,Tic
pulmonary embolism,Pulmonary embolism
constipation,Constipation
worsening hypoxia,Hypoxia
exp,Explorative laparotomy
vomiting,Vomiting
chest pain,Chest pain
fever,Pyrexia
heart palpitations,Palpitations
extreme fatigue,Fatigue
recent illness,Illness
peripheral edema,Oedema peripheral
persistent hypoxia,Hypoxia
nausea,Nausea
diarrhea,Diarrhoea
TB,Tuberculosis
Hypertension,Hypertension
breakthrough COVID-19 disease,Breakthrough COVID-19
Fevers,Pyrexia
the COVID-19 infection,COVID-19
hypoxia,Hypoxia
death,Death
acute respiratory distress syndrome,Acute respiratory distress syndrome
alcohol withdrawal,Alcohol withdrawal syndrome
hypoxic encephalopathy,Hypoxic-ischaemic encephalopathy
COVID-19 pneumonia,COVID-19 pneumonia
a V-fib cardiac arrest,Cardiac arrest
No adverse event,No adverse event
Axillary swelling,Swelling
Pain across right shoulder,Pain
Lymphadenopathy,Lymphadenopathy
pain,Pain
Moderate to severe adult Crohn's disease,Crohn's disease
Crohn's disease,Crohn's disease
PAIN IN EXTREMITY,Pain in extremity
PAIN IN EXTREMITY (Sore arm,Pain
fever,Pyrexia
breakthrough COVID-19 disease,Breakthrough COVID-19
fatigue,Fatigue
hypoxic,Hypoxic-ischaemic encephalopathy
death,Death
malaise,Malaise
bronchopneumonia,Pneumonia
decreased appetite,Decreased appetite
choking,Choking
No adverse event,No adverse event
spastic cerebral palsy,Tic
new cough,Cough
tachycardic,Tachycardia
febrile,Febrile convulsion
confusion,Confusional state
leukocytosis,Leukocytosis
weakness,Injection site muscle weakness
asthma,Asthma
lightheadedness,Vertigo
a non-productive cough,Productive cough
psoriasis,Psoriasis
morbid obesity,Obesity
vomiting,Vomiting
his chest pain,Chest pain
mild nausea,Nausea
chest pain,Chest pain
HTN,Muscle tightness
chronic back pain,Back pain
Cough,Cough
chills,Chills
headaches,Headache
OSA,Adiposis dolorosa
Chest Pain,Chest pain
coughing,Cough
diarrhea,Diarrhoea
generalized abdominal pain,Abdominal pain
fevers,Pyrexia
constipation,Constipation
Autoimmune disorder NOS,Autoimmune disorder
ADVERSE EVENT,Adverse event
adverse event,Adverse event
asthma,Asthma
vomiting,Vomiting
fever,Pyrexia
The cough,Cough
The vomiting,Vomiting
severe,Severe acute respiratory syndrome
heart rate issues,Heart rate
headaches,Headache
disoriented,Disorientation
severe headaches,Headache
diarrhea,Diarrhoea
joint pain,Pain
a softball size swelling,Swelling
No adverse event,No adverse event
respiratory symptoms,Respiratory symptom
dry coughs,Cough
fatigue,Fatigue
mild urticarial,Tic
cough,Cough
wheezing,Wheezing
chills,Chills
itching,Muscle twitching
essential hypertension,Essential hypertension
Tachycardia,Tachycardia
No adverse event,No adverse event
a skin rash,Rash
No adverse event,No adverse event
hypoxic,Hypoxic-ischaemic encephalopathy
hypoxia,Hypoxia
No adverse event,No adverse event
No adverse event,No adverse event
rapid heart rate,Heart rate
nausea,Nausea
Supraventricular tachycardia,Supraventricular tachycardia
cold sweat,Cold sweat
Tachycardia,Tachycardia
dizziness,Dizziness
weakness,Injection site muscle weakness
